Craft,Item,Slot,Material 1,Material 2,Level,Stats
Armorsmith,Crude Lean Armor Padding,Head and Chest,Coarse Lean Leather,Thread,1,+3 Physical Debuff Resists
Armorsmith,Rough Light Armor Padding,Head and Chest,Rough Light Leather,Thread,10,"+3 Stun Resists
+3 Daze Resists"
Armorsmith,Lean Armor Padding,Head and Chest,Fair Lean Leather,Thread,20,+6 Physical Debuff Resists
Armorsmith,Dense Armor Padding,Head and Chest,Fair Dense Leather,Thread,20,+2 Resilience
Armorsmith,Fair Light Armor Padding,Head and Chest,Fine Light Leather,Thread,30,"+5 Stun Resists
+5 Daze Resists"
Armorsmith,Fair Robust Armor Padding,Head and Chest,Fine Robust Leather,Thread,30,"+5 Ember Debuff Resists
+5 Ember Dmg Resists"
Armorsmith,Crude Armor Strap,Greaves,Coarse Lean Leather,Metal,1,+3 Movement Debuff Resists
Armorsmith,Rough Light Armor Strap,Greaves,Rough Light Leather,Metal,10,"+2 Combat Mov.
+1 Avoid"
Armorsmith,Lean Armor Strap,Greaves,Fair Lean Leather,Metal,20,+5 Movement Debuff Resists
Armorsmith,Dense Armor Strap,Greaves,Fair Dense Leather,Metal,20,+3 Physical Debuff Resists
Armorsmith,Fair Light Armor Strap,Greaves,Fine Light Leather,Metal,30,"+4 Combat Mov.
+2 Avoid"
Armorsmith,Fair Robust Armor Strap,Greaves,Fine Robust Leather,Metal,30,+4 Chemical Debuff Resists
Armorsmith,Crude Copper Armor Flap,Faulds,Newhaven Copper,Leather or Cloth,1,+1 Combat Mov.
Armorsmith,Rough Tin Armor Flap,Faulds,Flatlands Tin,Leather or Cloth,10,+6 Chemical Debuff Resists
Armorsmith,Copper Armor Flap,Faulds,Highlands Zink,Leather or Cloth,20,+9 Mental Debuff Resists
Armorsmith,Armor Flap,Faulds,Highlands Copper,Leather or Cloth,20,+3 Combat Mov.
Armorsmith,Gold Armor Flap,Faulds,Outlands Gold,Leather or Cloth,30,"+3 Physical Debuff Resists
+3 Ember Debuff Resists
+3 Movement Debuff Resists"
Armorsmith,Tin Armor Flap,Faulds,Outlands Tin,Leather or Cloth,30,+11 Chemical Debuff Resists
Armorsmith,Crude Copper Armor Bracing,Vambraces and Pauldrons,Newhaven Copper,Leather or Cloth,1,+1 Combat Mov.
Armorsmith,Rough Tin Armor Bracing,Vambraces and Pauldrons,Flatlands Tin,Leather or Cloth,10,+2 Chemical Debuff Resists
Armorsmith,Copper Armor Bracing,Vambraces and Pauldrons,Highlands Zink,Leather or Cloth,20,+3 Mental Debuff Resists
Armorsmith,Zink Armor Bracing,Vambraces and Pauldrons,Highlands Copper,Leather or Cloth,20,+3 Combat Mov.
Armorsmith,Fair Gold Armor Bracing,Vambraces and Pauldrons,Outlands Gold,Leather or Cloth,30,"+1 Physical Debuff Resists
+2 Ember Debuff Resists
+2 Movement Debuff Resists"
Armorsmith,Fair Tin Armor Bracing,Vambraces and Pauldrons,Outlands Tin,Leather or Cloth,30,+4 Chemical Debuff Resists
Tailor,Crude Lean Bootstraps,Boots,Coarse Lean Leather,Metal,1,+1 Combat Mov.
Tailor,Rough Light Bootstraps,Boots,Rough Light Leather,Metal,10,"+1 Avoid
+2 Chemical Dmg Resists"
Tailor,Lean Bootstraps,Boots,Fair Lean Leather,Metal,20,+3 Combat Mov.
Tailor,Dense Bootstraps,Boots,Fair Dense Leather,Metal,20,"+4 Movement Debuff Resists
+3 Ember Debuff Resists"
Tailor,Fair Light Bootstraps,Boots,Fine Light Leather,Metal,30,"+2 Avoid
+4 Chemical Dmg Resists"
Tailor,Fair Robust Bootstraps,Boots,Fine Robust Leather,Metal,30,"+6 Movement Debuff Resists
+4 Combat Mov."
Tailor,Crude Linen Patch,Shirt and Pants,Timberland Linen Cloth,Thread,1,+5 Health Regen
Tailor,Rough Cotton Patch,Shirt and Pants,Prairie Cotton Cloth,Thread,10,+2 Chemical Dmg Resists
Tailor,Linen Patch,Shirt and Pants,Highlands Linen Cloth,Thread,20,+11 Health Regen
Tailor,Ramie Patch,Shirt and Pants,Highlands Ramie Cloth,Thread,20,"+4 Healing
+1 Stamina Regen"
Tailor,Fair Cotton Patch,Shirt and Pants,Frontier Cotton Cloth,Thread,30,+4 Chemical Dmg Resists
Tailor,Fair Jute Patch,Shirt and Pants,Frontier Jute Cloth,Thread,30,"+2 Ember Dmg Resists
+2 Physical Dmg Resists"
